EPOCH[0/2000] loss:1850.920 | F1:0.0023 | P:0.0017 | R:0.0035 | NDCG:0.0029 | T:35.40s | RAM:21118.4MB | CPU:29.2% | VRAM:155.6MB
EPOCH[5/2000] loss:997.550 | F1:0.0024 | P:0.0017 | R:0.0036 | NDCG:0.0029 | T:33.85s | RAM:21128.4MB | CPU:27.2% | VRAM:163.7MB
EPOCH[10/2000] loss:783.364 | F1:0.0171 | P:0.0125 | R:0.0272 | NDCG:0.0225 | T:34.00s | RAM:21116.2MB | CPU:27.8% | VRAM:163.7MB
EPOCH[15/2000] loss:712.556 | F1:0.0283 | P:0.0203 | R:0.0465 | NDCG:0.0382 | T:34.10s | RAM:21112.6MB | CPU:27.1% | VRAM:163.7MB
EPOCH[20/2000] loss:692.668 | F1:0.0334 | P:0.0238 | R:0.0558 | NDCG:0.0458 | T:34.07s | RAM:21087.0MB | CPU:27.7% | VRAM:163.7MB
EPOCH[25/2000] loss:686.761 | F1:0.0364 | P:0.0258 | R:0.0614 | NDCG:0.0502 | T:33.92s | RAM:21068.7MB | CPU:27.5% | VRAM:163.7MB
EPOCH[30/2000] loss:661.922 | F1:0.0379 | P:0.0269 | R:0.0641 | NDCG:0.0523 | T:34.19s | RAM:21108.4MB | CPU:27.9% | VRAM:163.7MB
EPOCH[35/2000] loss:670.271 | F1:0.0387 | P:0.0274 | R:0.0660 | NDCG:0.0537 | T:33.97s | RAM:21109.4MB | CPU:27.6% | VRAM:163.7MB
EPOCH[40/2000] loss:660.989 | F1:0.0390 | P:0.0276 | R:0.0665 | NDCG:0.0545 | T:34.20s | RAM:21116.6MB | CPU:27.6% | VRAM:163.7MB
EPOCH[45/2000] loss:676.026 | F1:0.0393 | P:0.0278 | R:0.0670 | NDCG:0.0548 | T:33.95s | RAM:21114.9MB | CPU:27.5% | VRAM:163.7MB
EPOCH[50/2000] loss:659.601 | F1:0.0391 | P:0.0276 | R:0.0667 | NDCG:0.0547 | T:33.95s | RAM:21098.5MB | CPU:28.0% | VRAM:163.7MB
EPOCH[51/2000] loss:650.019 | F1:0.0394 | P:0.0279 | R:0.0672 | NDCG:0.0549 | T:33.68s | RAM:21083.0MB | CPU:25.1% | VRAM:163.7MB
EPOCH[52/2000] loss:651.359 | F1:0.0394 | P:0.0279 | R:0.0672 | NDCG:0.0547 | T:34.09s | RAM:21110.4MB | CPU:25.6% | VRAM:163.7MB
EPOCH[53/2000] loss:663.705 | F1:0.0393 | P:0.0278 | R:0.0672 | NDCG:0.0549 | T:34.17s | RAM:21090.3MB | CPU:25.1% | VRAM:163.7MB
EPOCH[54/2000] loss:669.115 | F1:0.0392 | P:0.0277 | R:0.0670 | NDCG:0.0546 | T:34.15s | RAM:21079.0MB | CPU:25.5% | VRAM:163.7MB
EPOCH[55/2000] loss:655.572 | F1:0.0392 | P:0.0277 | R:0.0669 | NDCG:0.0546 | T:33.98s | RAM:21125.1MB | CPU:25.5% | VRAM:163.7MB
EPOCH[56/2000] loss:664.803 | F1:0.0394 | P:0.0278 | R:0.0672 | NDCG:0.0551 | T:33.82s | RAM:21088.5MB | CPU:25.1% | VRAM:163.7MB
EPOCH[57/2000] loss:647.575 | F1:0.0393 | P:0.0277 | R:0.0671 | NDCG:0.0547 | T:34.09s | RAM:21084.7MB | CPU:25.2% | VRAM:163.7MB
EPOCH[58/2000] loss:649.971 | F1:0.0393 | P:0.0277 | R:0.0672 | NDCG:0.0548 | T:33.94s | RAM:21115.5MB | CPU:25.2% | VRAM:163.7MB
EPOCH[59/2000] loss:661.816 | F1:0.0395 | P:0.0279 | R:0.0675 | NDCG:0.0551 | T:34.46s | RAM:21097.1MB | CPU:25.1% | VRAM:163.7MB
EPOCH[60/2000] loss:643.598 | F1:0.0393 | P:0.0278 | R:0.0671 | NDCG:0.0550 | T:33.99s | RAM:21076.8MB | CPU:25.6% | VRAM:163.7MB
EPOCH[61/2000] loss:657.357 | F1:0.0394 | P:0.0278 | R:0.0672 | NDCG:0.0549 | T:34.27s | RAM:21081.2MB | CPU:24.8% | VRAM:163.7MB
EPOCH[62/2000] loss:657.974 | F1:0.0393 | P:0.0278 | R:0.0672 | NDCG:0.0548 | T:34.00s | RAM:21134.4MB | CPU:25.5% | VRAM:163.7MB
EPOCH[63/2000] loss:650.616 | F1:0.0391 | P:0.0277 | R:0.0669 | NDCG:0.0546 | T:33.97s | RAM:21132.8MB | CPU:25.3% | VRAM:163.7MB
EPOCH[64/2000] loss:649.541 | F1:0.0393 | P:0.0278 | R:0.0671 | NDCG:0.0548 | T:34.13s | RAM:21110.9MB | CPU:25.2% | VRAM:163.7MB
EPOCH[65/2000] loss:658.878 | F1:0.0394 | P:0.0278 | R:0.0673 | NDCG:0.0548 | T:34.05s | RAM:21120.4MB | CPU:25.4% | VRAM:163.7MB
EPOCH[66/2000] loss:664.588 | F1:0.0392 | P:0.0277 | R:0.0669 | NDCG:0.0546 | T:33.93s | RAM:21119.2MB | CPU:25.1% | VRAM:163.7MB
EPOCH[67/2000] loss:665.280 | F1:0.0393 | P:0.0278 | R:0.0670 | NDCG:0.0549 | T:34.09s | RAM:21100.0MB | CPU:25.4% | VRAM:163.7MB
EPOCH[68/2000] loss:653.807 | F1:0.0393 | P:0.0278 | R:0.0670 | NDCG:0.0548 | T:34.05s | RAM:21117.9MB | CPU:25.4% | VRAM:163.7MB
EPOCH[69/2000] loss:667.241 | F1:0.0393 | P:0.0278 | R:0.0671 | NDCG:0.0549 | T:33.96s | RAM:21111.6MB | CPU:25.1% | VRAM:163.7MB
EPOCH[70/2000] loss:657.527 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0551 | T:34.08s | RAM:21096.4MB | CPU:25.4% | VRAM:163.7MB
EPOCH[71/2000] loss:662.441 | F1:0.0391 | P:0.0276 | R:0.0668 | NDCG:0.0547 | T:34.00s | RAM:21075.5MB | CPU:25.0% | VRAM:163.7MB
EPOCH[72/2000] loss:651.928 | F1:0.0395 | P:0.0280 | R:0.0675 | NDCG:0.0553 | T:34.13s | RAM:21095.0MB | CPU:25.4% | VRAM:163.7MB
EPOCH[73/2000] loss:655.801 | F1:0.0395 | P:0.0279 | R:0.0673 | NDCG:0.0551 | T:34.27s | RAM:21135.2MB | CPU:25.4% | VRAM:163.7MB
EPOCH[74/2000] loss:666.095 | F1:0.0393 | P:0.0278 | R:0.0673 | NDCG:0.0549 | T:33.93s | RAM:21105.8MB | CPU:25.0% | VRAM:163.7MB
EPOCH[75/2000] loss:658.051 | F1:0.0392 | P:0.0277 | R:0.0671 | NDCG:0.0548 | T:33.89s | RAM:21078.5MB | CPU:25.5% | VRAM:163.7MB
EPOCH[76/2000] loss:653.936 | F1:0.0396 | P:0.0280 | R:0.0678 | NDCG:0.0553 | T:34.07s | RAM:21109.9MB | CPU:25.1% | VRAM:163.7MB
EPOCH[77/2000] loss:650.973 | F1:0.0394 | P:0.0279 | R:0.0674 | NDCG:0.0553 | T:34.03s | RAM:21127.4MB | CPU:25.6% | VRAM:163.7MB
EPOCH[78/2000] loss:658.980 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0550 | T:33.72s | RAM:21114.0MB | CPU:25.2% | VRAM:163.7MB
EPOCH[79/2000] loss:656.121 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0552 | T:34.11s | RAM:21145.3MB | CPU:25.3% | VRAM:163.7MB
EPOCH[80/2000] loss:663.153 | F1:0.0393 | P:0.0277 | R:0.0673 | NDCG:0.0549 | T:34.01s | RAM:21115.3MB | CPU:25.3% | VRAM:163.7MB
