EPOCH[0/2000] loss:1939.302 | F1:0.0024 | P:0.0018 | R:0.0036 | NDCG:0.0029 | T:34.60s | RAM:21031.6MB | CPU:17.6% | VRAM:155.6MB
EPOCH[5/2000] loss:998.279 | F1:0.0025 | P:0.0019 | R:0.0038 | NDCG:0.0030 | T:34.04s | RAM:21186.9MB | CPU:27.8% | VRAM:163.7MB
EPOCH[10/2000] loss:796.665 | F1:0.0170 | P:0.0124 | R:0.0269 | NDCG:0.0223 | T:34.15s | RAM:21179.5MB | CPU:27.0% | VRAM:163.7MB
EPOCH[15/2000] loss:716.271 | F1:0.0282 | P:0.0203 | R:0.0463 | NDCG:0.0377 | T:33.97s | RAM:21139.4MB | CPU:27.8% | VRAM:163.7MB
EPOCH[20/2000] loss:703.460 | F1:0.0333 | P:0.0238 | R:0.0559 | NDCG:0.0455 | T:33.92s | RAM:21124.2MB | CPU:27.0% | VRAM:163.7MB
EPOCH[25/2000] loss:677.627 | F1:0.0362 | P:0.0257 | R:0.0612 | NDCG:0.0500 | T:33.93s | RAM:21155.4MB | CPU:27.6% | VRAM:163.7MB
EPOCH[30/2000] loss:669.487 | F1:0.0379 | P:0.0269 | R:0.0643 | NDCG:0.0523 | T:33.92s | RAM:21149.8MB | CPU:27.6% | VRAM:163.7MB
EPOCH[35/2000] loss:675.239 | F1:0.0387 | P:0.0274 | R:0.0660 | NDCG:0.0536 | T:34.03s | RAM:21191.6MB | CPU:27.4% | VRAM:163.7MB
EPOCH[40/2000] loss:662.901 | F1:0.0386 | P:0.0273 | R:0.0659 | NDCG:0.0537 | T:33.97s | RAM:21158.5MB | CPU:27.8% | VRAM:163.7MB
EPOCH[45/2000] loss:665.569 | F1:0.0392 | P:0.0277 | R:0.0669 | NDCG:0.0546 | T:34.18s | RAM:21212.5MB | CPU:27.4% | VRAM:163.7MB
EPOCH[50/2000] loss:652.397 | F1:0.0392 | P:0.0277 | R:0.0671 | NDCG:0.0544 | T:33.95s | RAM:21110.7MB | CPU:27.6% | VRAM:163.7MB
EPOCH[51/2000] loss:659.767 | F1:0.0392 | P:0.0277 | R:0.0670 | NDCG:0.0544 | T:33.86s | RAM:21155.3MB | CPU:25.5% | VRAM:163.7MB
EPOCH[52/2000] loss:650.728 | F1:0.0393 | P:0.0278 | R:0.0670 | NDCG:0.0545 | T:34.00s | RAM:21157.5MB | CPU:25.1% | VRAM:163.7MB
