EPOCH[0/2000] loss:1918.563 | F1:0.0023 | P:0.0017 | R:0.0035 | NDCG:0.0030 | T:35.52s | RAM:20991.4MB | CPU:29.6% | VRAM:155.6MB
EPOCH[5/2000] loss:977.992 | F1:0.0024 | P:0.0018 | R:0.0038 | NDCG:0.0031 | T:34.35s | RAM:21035.2MB | CPU:27.6% | VRAM:163.7MB
EPOCH[10/2000] loss:795.691 | F1:0.0169 | P:0.0123 | R:0.0269 | NDCG:0.0226 | T:34.15s | RAM:21061.7MB | CPU:27.5% | VRAM:163.7MB
EPOCH[15/2000] loss:715.733 | F1:0.0282 | P:0.0203 | R:0.0462 | NDCG:0.0376 | T:34.07s | RAM:21051.5MB | CPU:27.6% | VRAM:163.7MB
EPOCH[20/2000] loss:690.323 | F1:0.0333 | P:0.0237 | R:0.0558 | NDCG:0.0455 | T:34.46s | RAM:21068.4MB | CPU:27.6% | VRAM:163.7MB
EPOCH[25/2000] loss:674.805 | F1:0.0362 | P:0.0257 | R:0.0610 | NDCG:0.0496 | T:34.32s | RAM:21053.8MB | CPU:27.8% | VRAM:163.7MB
EPOCH[30/2000] loss:662.741 | F1:0.0376 | P:0.0266 | R:0.0637 | NDCG:0.0519 | T:34.39s | RAM:21055.3MB | CPU:27.7% | VRAM:163.7MB
EPOCH[35/2000] loss:677.841 | F1:0.0386 | P:0.0273 | R:0.0656 | NDCG:0.0535 | T:34.21s | RAM:21049.6MB | CPU:26.9% | VRAM:163.7MB
EPOCH[40/2000] loss:657.317 | F1:0.0390 | P:0.0276 | R:0.0665 | NDCG:0.0543 | T:34.29s | RAM:21035.4MB | CPU:27.3% | VRAM:163.7MB
EPOCH[45/2000] loss:662.908 | F1:0.0392 | P:0.0277 | R:0.0670 | NDCG:0.0546 | T:34.30s | RAM:21021.9MB | CPU:27.3% | VRAM:163.7MB
EPOCH[50/2000] loss:645.185 | F1:0.0390 | P:0.0276 | R:0.0666 | NDCG:0.0544 | T:34.24s | RAM:21024.6MB | CPU:27.6% | VRAM:163.7MB
EPOCH[51/2000] loss:663.455 | F1:0.0393 | P:0.0278 | R:0.0669 | NDCG:0.0549 | T:34.24s | RAM:21031.2MB | CPU:25.4% | VRAM:163.7MB
EPOCH[52/2000] loss:647.391 | F1:0.0394 | P:0.0278 | R:0.0673 | NDCG:0.0548 | T:34.18s | RAM:21021.9MB | CPU:24.9% | VRAM:163.7MB
EPOCH[53/2000] loss:647.431 | F1:0.0390 | P:0.0276 | R:0.0668 | NDCG:0.0544 | T:34.40s | RAM:21065.2MB | CPU:25.5% | VRAM:163.7MB
EPOCH[54/2000] loss:655.880 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0547 | T:34.25s | RAM:21029.5MB | CPU:25.0% | VRAM:163.7MB
EPOCH[55/2000] loss:651.210 | F1:0.0394 | P:0.0278 | R:0.0673 | NDCG:0.0549 | T:34.48s | RAM:21021.0MB | CPU:25.3% | VRAM:163.7MB
EPOCH[56/2000] loss:658.036 | F1:0.0395 | P:0.0279 | R:0.0673 | NDCG:0.0549 | T:34.07s | RAM:21057.7MB | CPU:25.2% | VRAM:163.7MB
EPOCH[57/2000] loss:647.233 | F1:0.0394 | P:0.0279 | R:0.0672 | NDCG:0.0548 | T:34.41s | RAM:21028.3MB | CPU:25.1% | VRAM:163.7MB
EPOCH[58/2000] loss:644.148 | F1:0.0391 | P:0.0277 | R:0.0669 | NDCG:0.0543 | T:33.94s | RAM:21056.6MB | CPU:25.6% | VRAM:163.7MB
EPOCH[59/2000] loss:659.243 | F1:0.0393 | P:0.0278 | R:0.0672 | NDCG:0.0545 | T:33.96s | RAM:21030.5MB | CPU:25.1% | VRAM:163.7MB
EPOCH[60/2000] loss:658.117 | F1:0.0393 | P:0.0278 | R:0.0672 | NDCG:0.0548 | T:34.64s | RAM:21022.2MB | CPU:25.4% | VRAM:163.7MB
EPOCH[61/2000] loss:648.795 | F1:0.0392 | P:0.0277 | R:0.0669 | NDCG:0.0546 | T:34.34s | RAM:21058.6MB | CPU:25.1% | VRAM:163.7MB
EPOCH[62/2000] loss:665.323 | F1:0.0391 | P:0.0276 | R:0.0667 | NDCG:0.0544 | T:34.40s | RAM:21032.1MB | CPU:25.1% | VRAM:163.7MB
EPOCH[63/2000] loss:656.801 | F1:0.0393 | P:0.0278 | R:0.0670 | NDCG:0.0544 | T:34.51s | RAM:21022.1MB | CPU:25.2% | VRAM:163.7MB
EPOCH[64/2000] loss:655.655 | F1:0.0394 | P:0.0278 | R:0.0673 | NDCG:0.0545 | T:34.38s | RAM:21049.0MB | CPU:25.0% | VRAM:163.7MB
EPOCH[65/2000] loss:659.809 | F1:0.0395 | P:0.0279 | R:0.0673 | NDCG:0.0548 | T:34.47s | RAM:21035.9MB | CPU:25.3% | VRAM:163.7MB
EPOCH[66/2000] loss:649.839 | F1:0.0394 | P:0.0278 | R:0.0673 | NDCG:0.0549 | T:34.20s | RAM:21043.9MB | CPU:25.0% | VRAM:163.7MB
EPOCH[67/2000] loss:664.284 | F1:0.0395 | P:0.0279 | R:0.0675 | NDCG:0.0551 | T:33.99s | RAM:21027.3MB | CPU:25.3% | VRAM:163.7MB
EPOCH[68/2000] loss:648.664 | F1:0.0395 | P:0.0279 | R:0.0675 | NDCG:0.0550 | T:34.03s | RAM:21032.6MB | CPU:25.4% | VRAM:163.7MB
EPOCH[69/2000] loss:652.801 | F1:0.0395 | P:0.0279 | R:0.0674 | NDCG:0.0546 | T:34.06s | RAM:21030.0MB | CPU:25.1% | VRAM:163.7MB
EPOCH[70/2000] loss:655.379 | F1:0.0395 | P:0.0279 | R:0.0674 | NDCG:0.0546 | T:34.21s | RAM:21062.6MB | CPU:25.4% | VRAM:163.7MB
EPOCH[71/2000] loss:656.949 | F1:0.0392 | P:0.0277 | R:0.0671 | NDCG:0.0546 | T:34.50s | RAM:21035.2MB | CPU:24.9% | VRAM:163.7MB
EPOCH[72/2000] loss:648.996 | F1:0.0393 | P:0.0278 | R:0.0673 | NDCG:0.0549 | T:34.24s | RAM:21032.4MB | CPU:25.3% | VRAM:163.7MB
EPOCH[73/2000] loss:651.572 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0550 | T:34.26s | RAM:21029.9MB | CPU:25.0% | VRAM:163.7MB
EPOCH[74/2000] loss:650.227 | F1:0.0396 | P:0.0280 | R:0.0677 | NDCG:0.0552 | T:34.25s | RAM:21010.6MB | CPU:25.3% | VRAM:163.7MB
EPOCH[75/2000] loss:656.728 | F1:0.0393 | P:0.0278 | R:0.0672 | NDCG:0.0549 | T:33.98s | RAM:21053.5MB | CPU:25.5% | VRAM:163.7MB
EPOCH[76/2000] loss:652.236 | F1:0.0395 | P:0.0279 | R:0.0676 | NDCG:0.0551 | T:34.14s | RAM:21065.4MB | CPU:25.1% | VRAM:163.7MB
EPOCH[77/2000] loss:652.016 | F1:0.0394 | P:0.0278 | R:0.0676 | NDCG:0.0549 | T:33.96s | RAM:21050.3MB | CPU:25.5% | VRAM:163.7MB
EPOCH[78/2000] loss:650.107 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0551 | T:34.54s | RAM:21026.2MB | CPU:24.9% | VRAM:163.7MB
EPOCH[79/2000] loss:650.746 | F1:0.0393 | P:0.0278 | R:0.0671 | NDCG:0.0546 | T:34.35s | RAM:21034.5MB | CPU:25.3% | VRAM:163.7MB
EPOCH[80/2000] loss:650.785 | F1:0.0394 | P:0.0279 | R:0.0673 | NDCG:0.0547 | T:34.20s | RAM:21042.5MB | CPU:24.9% | VRAM:163.7MB
EPOCH[81/2000] loss:654.753 | F1:0.0395 | P:0.0279 | R:0.0674 | NDCG:0.0550 | T:34.53s | RAM:21053.1MB | CPU:25.3% | VRAM:163.7MB
