EPOCH[0/2000] loss:49.226 | F1:0.0028 | P:0.0015 | R:0.0295 | NDCG:0.0124 | T:21.94s | RAM:2519.7MB | CPU:15.3% | VRAM:23.7MB
EPOCH[5/2000] loss:34.747 | F1:0.0030 | P:0.0016 | R:0.0310 | NDCG:0.0117 | T:21.04s | RAM:2580.0MB | CPU:22.6% | VRAM:31.8MB
EPOCH[10/2000] loss:32.244 | F1:0.0030 | P:0.0016 | R:0.0310 | NDCG:0.0101 | T:21.02s | RAM:2578.5MB | CPU:22.4% | VRAM:31.8MB
EPOCH[15/2000] loss:30.840 | F1:0.0032 | P:0.0017 | R:0.0332 | NDCG:0.0136 | T:21.06s | RAM:2574.4MB | CPU:22.3% | VRAM:31.8MB
EPOCH[20/2000] loss:31.769 | F1:0.0038 | P:0.0020 | R:0.0400 | NDCG:0.0173 | T:21.11s | RAM:2578.5MB | CPU:22.7% | VRAM:31.8MB
EPOCH[25/2000] loss:31.259 | F1:0.0041 | P:0.0022 | R:0.0436 | NDCG:0.0185 | T:21.13s | RAM:2581.6MB | CPU:22.4% | VRAM:31.8MB
EPOCH[30/2000] loss:30.863 | F1:0.0043 | P:0.0023 | R:0.0450 | NDCG:0.0188 | T:21.43s | RAM:2598.5MB | CPU:22.4% | VRAM:31.8MB
EPOCH[35/2000] loss:30.071 | F1:0.0044 | P:0.0023 | R:0.0458 | NDCG:0.0187 | T:21.23s | RAM:2584.9MB | CPU:21.5% | VRAM:31.8MB
EPOCH[40/2000] loss:30.576 | F1:0.0044 | P:0.0023 | R:0.0467 | NDCG:0.0199 | T:21.28s | RAM:2596.1MB | CPU:22.5% | VRAM:31.8MB
EPOCH[45/2000] loss:32.844 | F1:0.0046 | P:0.0024 | R:0.0483 | NDCG:0.0203 | T:21.23s | RAM:2594.0MB | CPU:21.4% | VRAM:31.8MB
EPOCH[50/2000] loss:32.421 | F1:0.0048 | P:0.0025 | R:0.0502 | NDCG:0.0208 | T:21.22s | RAM:2572.9MB | CPU:22.8% | VRAM:31.8MB
