EPOCH[0/2000] loss:44.986 | F1:0.0031 | P:0.0016 | R:0.0323 | NDCG:0.0116 | T:21.34s | RAM:2633.2MB | CPU:15.7% | VRAM:23.7MB
EPOCH[5/2000] loss:34.723 | F1:0.0029 | P:0.0015 | R:0.0306 | NDCG:0.0113 | T:20.38s | RAM:2699.1MB | CPU:22.4% | VRAM:31.8MB
EPOCH[10/2000] loss:30.537 | F1:0.0029 | P:0.0015 | R:0.0303 | NDCG:0.0117 | T:20.28s | RAM:2598.3MB | CPU:21.9% | VRAM:31.8MB
EPOCH[15/2000] loss:32.524 | F1:0.0030 | P:0.0016 | R:0.0312 | NDCG:0.0126 | T:20.61s | RAM:2611.9MB | CPU:22.1% | VRAM:31.8MB
EPOCH[20/2000] loss:32.062 | F1:0.0036 | P:0.0019 | R:0.0377 | NDCG:0.0174 | T:20.31s | RAM:2596.9MB | CPU:23.2% | VRAM:31.8MB
EPOCH[25/2000] loss:31.689 | F1:0.0040 | P:0.0021 | R:0.0418 | NDCG:0.0175 | T:20.24s | RAM:2588.7MB | CPU:23.2% | VRAM:31.8MB
EPOCH[30/2000] loss:30.510 | F1:0.0043 | P:0.0023 | R:0.0456 | NDCG:0.0191 | T:20.36s | RAM:2602.6MB | CPU:23.1% | VRAM:31.8MB
EPOCH[35/2000] loss:30.505 | F1:0.0044 | P:0.0023 | R:0.0459 | NDCG:0.0190 | T:20.11s | RAM:2578.4MB | CPU:22.0% | VRAM:31.8MB
EPOCH[40/2000] loss:32.076 | F1:0.0044 | P:0.0023 | R:0.0465 | NDCG:0.0193 | T:20.14s | RAM:2584.8MB | CPU:21.7% | VRAM:31.8MB
EPOCH[45/2000] loss:31.316 | F1:0.0047 | P:0.0025 | R:0.0490 | NDCG:0.0203 | T:20.39s | RAM:2600.5MB | CPU:22.6% | VRAM:31.8MB
EPOCH[50/2000] loss:31.920 | F1:0.0047 | P:0.0025 | R:0.0495 | NDCG:0.0207 | T:20.36s | RAM:2574.2MB | CPU:22.9% | VRAM:31.8MB
EPOCH[51/2000] loss:31.560 | F1:0.0046 | P:0.0024 | R:0.0487 | NDCG:0.0200 | T:20.63s | RAM:2578.8MB | CPU:22.0% | VRAM:31.8MB
EPOCH[52/2000] loss:29.554 | F1:0.0049 | P:0.0026 | R:0.0515 | NDCG:0.0215 | T:20.40s | RAM:2575.3MB | CPU:22.3% | VRAM:31.8MB
EPOCH[53/2000] loss:32.003 | F1:0.0048 | P:0.0025 | R:0.0508 | NDCG:0.0209 | T:20.42s | RAM:2580.3MB | CPU:22.8% | VRAM:31.8MB
EPOCH[54/2000] loss:31.494 | F1:0.0050 | P:0.0026 | R:0.0523 | NDCG:0.0219 | T:20.65s | RAM:2568.7MB | CPU:22.5% | VRAM:31.8MB
EPOCH[55/2000] loss:32.129 | F1:0.0048 | P:0.0025 | R:0.0502 | NDCG:0.0207 | T:20.44s | RAM:2588.1MB | CPU:22.0% | VRAM:31.8MB
EPOCH[56/2000] loss:30.626 | F1:0.0045 | P:0.0024 | R:0.0477 | NDCG:0.0204 | T:20.37s | RAM:2583.4MB | CPU:23.3% | VRAM:31.8MB
EPOCH[57/2000] loss:31.291 | F1:0.0049 | P:0.0026 | R:0.0515 | NDCG:0.0208 | T:20.53s | RAM:2568.9MB | CPU:22.8% | VRAM:31.8MB
EPOCH[58/2000] loss:30.674 | F1:0.0049 | P:0.0026 | R:0.0511 | NDCG:0.0210 | T:20.21s | RAM:2572.8MB | CPU:21.6% | VRAM:31.8MB
EPOCH[59/2000] loss:31.899 | F1:0.0049 | P:0.0026 | R:0.0512 | NDCG:0.0210 | T:20.35s | RAM:2581.0MB | CPU:22.8% | VRAM:31.8MB
EPOCH[60/2000] loss:32.304 | F1:0.0047 | P:0.0025 | R:0.0498 | NDCG:0.0202 | T:20.40s | RAM:2553.1MB | CPU:22.8% | VRAM:31.8MB
EPOCH[61/2000] loss:31.965 | F1:0.0048 | P:0.0025 | R:0.0508 | NDCG:0.0208 | T:20.28s | RAM:2574.5MB | CPU:21.5% | VRAM:31.8MB
EPOCH[62/2000] loss:31.896 | F1:0.0047 | P:0.0024 | R:0.0489 | NDCG:0.0202 | T:20.35s | RAM:2558.4MB | CPU:23.0% | VRAM:31.8MB
EPOCH[63/2000] loss:31.859 | F1:0.0046 | P:0.0024 | R:0.0486 | NDCG:0.0202 | T:20.50s | RAM:2573.6MB | CPU:22.9% | VRAM:31.8MB
EPOCH[64/2000] loss:30.474 | F1:0.0048 | P:0.0025 | R:0.0508 | NDCG:0.0209 | T:20.42s | RAM:2597.1MB | CPU:21.7% | VRAM:31.8MB
EPOCH[65/2000] loss:31.049 | F1:0.0048 | P:0.0025 | R:0.0507 | NDCG:0.0203 | T:20.28s | RAM:2582.2MB | CPU:22.8% | VRAM:31.8MB
EPOCH[66/2000] loss:31.269 | F1:0.0050 | P:0.0026 | R:0.0524 | NDCG:0.0215 | T:20.37s | RAM:2564.5MB | CPU:22.8% | VRAM:31.8MB
EPOCH[67/2000] loss:31.300 | F1:0.0047 | P:0.0025 | R:0.0490 | NDCG:0.0205 | T:20.27s | RAM:2591.4MB | CPU:22.3% | VRAM:31.8MB
EPOCH[68/2000] loss:31.609 | F1:0.0051 | P:0.0027 | R:0.0532 | NDCG:0.0213 | T:20.29s | RAM:2566.3MB | CPU:22.5% | VRAM:31.8MB
EPOCH[69/2000] loss:31.998 | F1:0.0049 | P:0.0025 | R:0.0510 | NDCG:0.0212 | T:20.34s | RAM:2578.1MB | CPU:22.7% | VRAM:31.8MB
EPOCH[70/2000] loss:31.666 | F1:0.0048 | P:0.0025 | R:0.0508 | NDCG:0.0203 | T:20.35s | RAM:2590.4MB | CPU:22.4% | VRAM:31.8MB
EPOCH[71/2000] loss:30.805 | F1:0.0048 | P:0.0025 | R:0.0501 | NDCG:0.0204 | T:20.36s | RAM:2575.5MB | CPU:22.1% | VRAM:31.8MB
EPOCH[72/2000] loss:30.185 | F1:0.0049 | P:0.0026 | R:0.0518 | NDCG:0.0212 | T:20.61s | RAM:2581.6MB | CPU:22.7% | VRAM:31.8MB
EPOCH[73/2000] loss:31.397 | F1:0.0049 | P:0.0026 | R:0.0512 | NDCG:0.0209 | T:20.39s | RAM:2555.6MB | CPU:22.9% | VRAM:31.8MB
EPOCH[74/2000] loss:32.549 | F1:0.0050 | P:0.0026 | R:0.0521 | NDCG:0.0213 | T:20.34s | RAM:2571.7MB | CPU:21.6% | VRAM:31.8MB
EPOCH[75/2000] loss:32.030 | F1:0.0047 | P:0.0025 | R:0.0493 | NDCG:0.0200 | T:20.39s | RAM:2582.4MB | CPU:23.0% | VRAM:31.8MB
EPOCH[76/2000] loss:31.173 | F1:0.0048 | P:0.0025 | R:0.0504 | NDCG:0.0207 | T:20.29s | RAM:2575.3MB | CPU:22.7% | VRAM:31.8MB
EPOCH[77/2000] loss:30.924 | F1:0.0048 | P:0.0025 | R:0.0501 | NDCG:0.0211 | T:20.27s | RAM:2632.4MB | CPU:21.8% | VRAM:31.8MB
EPOCH[78/2000] loss:32.923 | F1:0.0048 | P:0.0025 | R:0.0505 | NDCG:0.0204 | T:20.36s | RAM:2585.0MB | CPU:22.6% | VRAM:31.8MB
EPOCH[79/2000] loss:31.537 | F1:0.0048 | P:0.0025 | R:0.0499 | NDCG:0.0208 | T:20.42s | RAM:2585.5MB | CPU:23.0% | VRAM:31.8MB
EPOCH[80/2000] loss:30.283 | F1:0.0050 | P:0.0026 | R:0.0529 | NDCG:0.0209 | T:20.37s | RAM:2589.9MB | CPU:22.0% | VRAM:31.8MB
EPOCH[81/2000] loss:32.082 | F1:0.0049 | P:0.0025 | R:0.0510 | NDCG:0.0205 | T:20.31s | RAM:2586.8MB | CPU:22.9% | VRAM:31.8MB
EPOCH[82/2000] loss:32.619 | F1:0.0049 | P:0.0026 | R:0.0517 | NDCG:0.0216 | T:20.63s | RAM:2568.9MB | CPU:23.0% | VRAM:31.8MB
EPOCH[83/2000] loss:31.696 | F1:0.0049 | P:0.0025 | R:0.0510 | NDCG:0.0209 | T:20.30s | RAM:2586.4MB | CPU:21.9% | VRAM:31.8MB
