EPOCH[0/2000] loss:45.853 | F1:0.0029 | P:0.0015 | R:0.0306 | NDCG:0.0125 | T:21.42s | RAM:2599.2MB | CPU:15.1% | VRAM:23.7MB
EPOCH[5/2000] loss:35.045 | F1:0.0032 | P:0.0017 | R:0.0341 | NDCG:0.0131 | T:20.79s | RAM:2579.7MB | CPU:22.6% | VRAM:31.8MB
EPOCH[10/2000] loss:32.889 | F1:0.0029 | P:0.0015 | R:0.0301 | NDCG:0.0118 | T:20.66s | RAM:2574.6MB | CPU:21.8% | VRAM:31.8MB
EPOCH[15/2000] loss:32.102 | F1:0.0031 | P:0.0016 | R:0.0323 | NDCG:0.0134 | T:20.67s | RAM:2562.3MB | CPU:22.5% | VRAM:31.8MB
EPOCH[20/2000] loss:30.217 | F1:0.0039 | P:0.0020 | R:0.0406 | NDCG:0.0179 | T:20.54s | RAM:2574.4MB | CPU:23.1% | VRAM:31.8MB
EPOCH[25/2000] loss:31.107 | F1:0.0041 | P:0.0022 | R:0.0434 | NDCG:0.0182 | T:20.57s | RAM:2580.4MB | CPU:22.2% | VRAM:31.8MB
EPOCH[30/2000] loss:29.738 | F1:0.0042 | P:0.0022 | R:0.0446 | NDCG:0.0187 | T:21.29s | RAM:2568.6MB | CPU:22.9% | VRAM:31.8MB
EPOCH[35/2000] loss:30.783 | F1:0.0044 | P:0.0023 | R:0.0467 | NDCG:0.0192 | T:20.77s | RAM:2572.7MB | CPU:22.8% | VRAM:31.8MB
EPOCH[40/2000] loss:30.121 | F1:0.0045 | P:0.0024 | R:0.0473 | NDCG:0.0195 | T:20.71s | RAM:2587.9MB | CPU:22.5% | VRAM:31.8MB
EPOCH[45/2000] loss:32.059 | F1:0.0048 | P:0.0025 | R:0.0502 | NDCG:0.0209 | T:20.73s | RAM:2577.4MB | CPU:22.8% | VRAM:31.8MB
EPOCH[50/2000] loss:31.275 | F1:0.0047 | P:0.0025 | R:0.0495 | NDCG:0.0209 | T:20.69s | RAM:2590.0MB | CPU:21.7% | VRAM:31.8MB
EPOCH[51/2000] loss:30.784 | F1:0.0050 | P:0.0026 | R:0.0521 | NDCG:0.0212 | T:20.62s | RAM:2579.6MB | CPU:22.9% | VRAM:31.8MB
EPOCH[52/2000] loss:31.418 | F1:0.0050 | P:0.0026 | R:0.0524 | NDCG:0.0212 | T:20.62s | RAM:2573.8MB | CPU:22.8% | VRAM:31.8MB
EPOCH[53/2000] loss:30.514 | F1:0.0049 | P:0.0026 | R:0.0517 | NDCG:0.0218 | T:20.65s | RAM:2585.0MB | CPU:21.8% | VRAM:31.8MB
EPOCH[54/2000] loss:32.262 | F1:0.0050 | P:0.0026 | R:0.0523 | NDCG:0.0211 | T:20.66s | RAM:2571.1MB | CPU:22.9% | VRAM:31.8MB
EPOCH[55/2000] loss:30.761 | F1:0.0047 | P:0.0025 | R:0.0490 | NDCG:0.0203 | T:20.72s | RAM:2571.3MB | CPU:22.9% | VRAM:31.8MB
EPOCH[56/2000] loss:30.925 | F1:0.0050 | P:0.0026 | R:0.0523 | NDCG:0.0213 | T:20.71s | RAM:2599.9MB | CPU:22.1% | VRAM:31.8MB
EPOCH[57/2000] loss:30.738 | F1:0.0049 | P:0.0026 | R:0.0517 | NDCG:0.0210 | T:20.65s | RAM:2574.5MB | CPU:22.4% | VRAM:31.8MB
EPOCH[58/2000] loss:32.547 | F1:0.0050 | P:0.0026 | R:0.0529 | NDCG:0.0213 | T:20.70s | RAM:2584.2MB | CPU:22.5% | VRAM:31.8MB
EPOCH[59/2000] loss:31.598 | F1:0.0051 | P:0.0027 | R:0.0541 | NDCG:0.0216 | T:20.59s | RAM:2587.4MB | CPU:23.0% | VRAM:31.8MB
EPOCH[60/2000] loss:30.888 | F1:0.0050 | P:0.0026 | R:0.0529 | NDCG:0.0213 | T:20.56s | RAM:2574.2MB | CPU:21.6% | VRAM:31.8MB
EPOCH[61/2000] loss:30.994 | F1:0.0050 | P:0.0026 | R:0.0520 | NDCG:0.0213 | T:20.68s | RAM:2592.0MB | CPU:22.8% | VRAM:31.8MB
