EPOCH[0/2000] loss:1101.570 | F1:0.0192 | P:0.0129 | R:0.0377 | NDCG:0.0301 | T:40.02s | RAM:6885.1MB | CPU:40.7% | VRAM:76.9MB
EPOCH[5/2000] loss:132.703 | F1:0.0208 | P:0.0139 | R:0.0416 | NDCG:0.0317 | T:38.52s | RAM:6905.7MB | CPU:44.7% | VRAM:85.0MB
EPOCH[10/2000] loss:113.349 | F1:0.0210 | P:0.0140 | R:0.0419 | NDCG:0.0311 | T:38.32s | RAM:6914.6MB | CPU:44.7% | VRAM:85.0MB
EPOCH[15/2000] loss:94.529 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.32s | RAM:6904.2MB | CPU:44.6% | VRAM:85.0MB
EPOCH[20/2000] loss:88.458 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.78s | RAM:6896.1MB | CPU:44.7% | VRAM:85.0MB
EPOCH[25/2000] loss:76.369 | F1:0.0209 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:36.78s | RAM:6906.1MB | CPU:45.1% | VRAM:85.0MB
EPOCH[30/2000] loss:73.485 | F1:0.0208 | P:0.0139 | R:0.0417 | NDCG:0.0310 | T:38.29s | RAM:6903.4MB | CPU:44.7% | VRAM:85.0MB
EPOCH[35/2000] loss:67.048 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.79s | RAM:6896.4MB | CPU:45.1% | VRAM:85.0MB
EPOCH[40/2000] loss:62.300 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.83s | RAM:6893.6MB | CPU:44.6% | VRAM:85.0MB
EPOCH[45/2000] loss:66.176 | F1:0.0209 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.60s | RAM:6904.9MB | CPU:44.9% | VRAM:85.0MB
EPOCH[50/2000] loss:63.817 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.99s | RAM:6892.7MB | CPU:44.5% | VRAM:85.0MB
EPOCH[51/2000] loss:64.876 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:38.93s | RAM:6882.5MB | CPU:43.4% | VRAM:85.0MB
EPOCH[52/2000] loss:68.651 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.93s | RAM:6892.8MB | CPU:43.4% | VRAM:85.0MB
EPOCH[53/2000] loss:63.238 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:38.86s | RAM:6876.1MB | CPU:43.4% | VRAM:85.0MB
EPOCH[54/2000] loss:64.218 | F1:0.0208 | P:0.0139 | R:0.0417 | NDCG:0.0310 | T:38.09s | RAM:6874.5MB | CPU:43.6% | VRAM:85.0MB
EPOCH[55/2000] loss:56.968 | F1:0.0208 | P:0.0138 | R:0.0417 | NDCG:0.0310 | T:36.88s | RAM:6891.7MB | CPU:43.9% | VRAM:85.0MB
