EPOCH[0/2000] loss:1121.291 | F1:0.0193 | P:0.0129 | R:0.0383 | NDCG:0.0304 | T:37.16s | RAM:6913.7MB | CPU:40.4% | VRAM:76.9MB
EPOCH[5/2000] loss:130.432 | F1:0.0209 | P:0.0139 | R:0.0418 | NDCG:0.0318 | T:36.42s | RAM:6849.4MB | CPU:45.1% | VRAM:85.0MB
EPOCH[10/2000] loss:109.708 | F1:0.0209 | P:0.0140 | R:0.0419 | NDCG:0.0311 | T:36.20s | RAM:6861.7MB | CPU:45.1% | VRAM:85.0MB
EPOCH[15/2000] loss:93.897 | F1:0.0210 | P:0.0140 | R:0.0420 | NDCG:0.0311 | T:36.24s | RAM:6864.3MB | CPU:45.2% | VRAM:85.0MB
EPOCH[20/2000] loss:85.331 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.64s | RAM:6830.7MB | CPU:45.3% | VRAM:85.0MB
EPOCH[25/2000] loss:72.693 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.61s | RAM:6849.2MB | CPU:45.2% | VRAM:85.0MB
EPOCH[30/2000] loss:70.095 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.65s | RAM:6873.2MB | CPU:45.2% | VRAM:85.0MB
EPOCH[35/2000] loss:66.756 | F1:0.0208 | P:0.0138 | R:0.0417 | NDCG:0.0310 | T:36.76s | RAM:6861.6MB | CPU:45.2% | VRAM:85.0MB
EPOCH[40/2000] loss:66.390 | F1:0.0208 | P:0.0138 | R:0.0418 | NDCG:0.0310 | T:36.56s | RAM:6871.3MB | CPU:45.1% | VRAM:85.0MB
EPOCH[45/2000] loss:64.635 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.79s | RAM:6852.9MB | CPU:45.0% | VRAM:85.0MB
EPOCH[50/2000] loss:60.354 | F1:0.0208 | P:0.0138 | R:0.0418 | NDCG:0.0310 | T:36.73s | RAM:6849.1MB | CPU:45.1% | VRAM:85.0MB
EPOCH[51/2000] loss:60.547 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.78s | RAM:6849.5MB | CPU:43.8% | VRAM:85.0MB
EPOCH[52/2000] loss:59.077 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.57s | RAM:6858.1MB | CPU:43.8% | VRAM:85.0MB
EPOCH[53/2000] loss:61.037 | F1:0.0208 | P:0.0139 | R:0.0417 | NDCG:0.0310 | T:36.79s | RAM:6839.1MB | CPU:43.8% | VRAM:85.0MB
EPOCH[54/2000] loss:65.880 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:36.69s | RAM:6856.5MB | CPU:43.8% | VRAM:85.0MB
EPOCH[55/2000] loss:60.741 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:36.83s | RAM:6856.8MB | CPU:43.8% | VRAM:85.0MB
EPOCH[56/2000] loss:59.006 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:36.87s | RAM:6849.0MB | CPU:43.9% | VRAM:85.0MB
EPOCH[57/2000] loss:57.103 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:36.77s | RAM:6851.8MB | CPU:43.7% | VRAM:85.0MB
EPOCH[58/2000] loss:61.646 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.00s | RAM:6855.8MB | CPU:43.9% | VRAM:85.0MB
EPOCH[59/2000] loss:59.158 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.72s | RAM:6873.1MB | CPU:43.8% | VRAM:85.0MB
EPOCH[60/2000] loss:60.918 | F1:0.0208 | P:0.0139 | R:0.0417 | NDCG:0.0310 | T:36.78s | RAM:6862.2MB | CPU:43.8% | VRAM:85.0MB
EPOCH[61/2000] loss:58.856 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:36.60s | RAM:6856.8MB | CPU:43.9% | VRAM:85.0MB
