EPOCH[0/2000] loss:1096.223 | F1:0.0195 | P:0.0131 | R:0.0386 | NDCG:0.0305 | T:37.71s | RAM:6979.3MB | CPU:23.6% | VRAM:76.9MB
EPOCH[5/2000] loss:130.540 | F1:0.0209 | P:0.0139 | R:0.0418 | NDCG:0.0318 | T:36.54s | RAM:6933.0MB | CPU:21.2% | VRAM:85.0MB
EPOCH[10/2000] loss:111.243 | F1:0.0210 | P:0.0140 | R:0.0419 | NDCG:0.0311 | T:36.12s | RAM:6941.8MB | CPU:21.1% | VRAM:85.0MB
EPOCH[15/2000] loss:96.687 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.94s | RAM:6958.1MB | CPU:20.8% | VRAM:85.0MB
EPOCH[20/2000] loss:82.267 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.46s | RAM:6933.3MB | CPU:20.7% | VRAM:85.0MB
EPOCH[25/2000] loss:79.459 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.28s | RAM:6958.1MB | CPU:20.8% | VRAM:85.0MB
EPOCH[30/2000] loss:71.813 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.22s | RAM:6951.0MB | CPU:20.8% | VRAM:85.0MB
EPOCH[35/2000] loss:67.590 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.19s | RAM:6976.3MB | CPU:21.1% | VRAM:85.0MB
EPOCH[40/2000] loss:66.670 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.30s | RAM:6953.3MB | CPU:20.8% | VRAM:85.0MB
EPOCH[45/2000] loss:61.477 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.24s | RAM:6964.7MB | CPU:20.9% | VRAM:85.0MB
EPOCH[50/2000] loss:62.107 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.45s | RAM:6958.1MB | CPU:20.7% | VRAM:85.0MB
EPOCH[51/2000] loss:58.579 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.51s | RAM:6950.4MB | CPU:20.8% | VRAM:85.0MB
EPOCH[52/2000] loss:62.101 | F1:0.0209 | P:0.0139 | R:0.0420 | NDCG:0.0311 | T:37.64s | RAM:6951.0MB | CPU:21.4% | VRAM:85.0MB
EPOCH[53/2000] loss:59.901 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.73s | RAM:6970.3MB | CPU:20.8% | VRAM:85.0MB
EPOCH[54/2000] loss:63.012 | F1:0.0208 | P:0.0139 | R:0.0418 | NDCG:0.0310 | T:37.98s | RAM:6941.4MB | CPU:21.2% | VRAM:85.0MB
EPOCH[55/2000] loss:57.971 | F1:0.0208 | P:0.0138 | R:0.0418 | NDCG:0.0310 | T:38.08s | RAM:6949.7MB | CPU:21.0% | VRAM:85.0MB
EPOCH[56/2000] loss:60.927 | F1:0.0208 | P:0.0138 | R:0.0418 | NDCG:0.0310 | T:38.08s | RAM:6947.7MB | CPU:20.4% | VRAM:85.0MB
