EPOCH[0/2000] loss:20.716 | F1:0.0922 | P:0.0768 | R:0.1154 | NDCG:0.1162 | T:8.35s | RAM:2232.1MB | CPU:35.4% | VRAM:19.9MB
EPOCH[5/2000] loss:17.965 | F1:0.0907 | P:0.0753 | R:0.1141 | NDCG:0.1150 | T:7.87s | RAM:2247.4MB | CPU:60.8% | VRAM:28.0MB
EPOCH[10/2000] loss:17.203 | F1:0.0914 | P:0.0763 | R:0.1140 | NDCG:0.1152 | T:7.78s | RAM:2259.3MB | CPU:60.6% | VRAM:28.0MB
EPOCH[15/2000] loss:16.982 | F1:0.1303 | P:0.1085 | R:0.1632 | NDCG:0.1702 | T:7.94s | RAM:2263.1MB | CPU:60.9% | VRAM:28.0MB
EPOCH[20/2000] loss:17.448 | F1:0.1581 | P:0.1283 | R:0.2060 | NDCG:0.2068 | T:7.91s | RAM:2273.4MB | CPU:60.8% | VRAM:28.0MB
EPOCH[25/2000] loss:17.147 | F1:0.1725 | P:0.1380 | R:0.2301 | NDCG:0.2261 | T:7.92s | RAM:2244.3MB | CPU:60.6% | VRAM:28.0MB
EPOCH[30/2000] loss:17.094 | F1:0.1807 | P:0.1437 | R:0.2435 | NDCG:0.2363 | T:7.93s | RAM:2250.5MB | CPU:61.2% | VRAM:28.0MB
EPOCH[35/2000] loss:16.959 | F1:0.1867 | P:0.1477 | R:0.2536 | NDCG:0.2456 | T:7.86s | RAM:2232.1MB | CPU:60.7% | VRAM:28.0MB
EPOCH[40/2000] loss:15.664 | F1:0.1921 | P:0.1511 | R:0.2637 | NDCG:0.2521 | T:7.80s | RAM:2249.1MB | CPU:60.7% | VRAM:28.0MB
EPOCH[45/2000] loss:16.765 | F1:0.1946 | P:0.1528 | R:0.2679 | NDCG:0.2548 | T:7.90s | RAM:2248.9MB | CPU:61.0% | VRAM:28.0MB
EPOCH[50/2000] loss:16.775 | F1:0.1950 | P:0.1530 | R:0.2687 | NDCG:0.2560 | T:8.01s | RAM:2242.0MB | CPU:61.1% | VRAM:28.0MB
EPOCH[51/2000] loss:16.937 | F1:0.1960 | P:0.1541 | R:0.2694 | NDCG:0.2580 | T:7.94s | RAM:2238.3MB | CPU:59.8% | VRAM:28.0MB
EPOCH[52/2000] loss:16.649 | F1:0.1965 | P:0.1544 | R:0.2702 | NDCG:0.2591 | T:7.89s | RAM:2224.7MB | CPU:58.6% | VRAM:28.0MB
EPOCH[53/2000] loss:16.104 | F1:0.1963 | P:0.1541 | R:0.2704 | NDCG:0.2584 | T:7.96s | RAM:2226.7MB | CPU:59.3% | VRAM:28.0MB
EPOCH[54/2000] loss:17.057 | F1:0.1967 | P:0.1543 | R:0.2710 | NDCG:0.2599 | T:7.87s | RAM:2280.1MB | CPU:59.3% | VRAM:28.0MB
EPOCH[55/2000] loss:16.687 | F1:0.1966 | P:0.1542 | R:0.2711 | NDCG:0.2595 | T:7.80s | RAM:2259.7MB | CPU:59.2% | VRAM:28.0MB
EPOCH[56/2000] loss:17.436 | F1:0.1971 | P:0.1547 | R:0.2716 | NDCG:0.2597 | T:7.78s | RAM:2215.2MB | CPU:59.1% | VRAM:28.0MB
EPOCH[57/2000] loss:16.647 | F1:0.1971 | P:0.1545 | R:0.2720 | NDCG:0.2604 | T:7.85s | RAM:2261.6MB | CPU:59.5% | VRAM:28.0MB
EPOCH[58/2000] loss:16.504 | F1:0.1978 | P:0.1549 | R:0.2736 | NDCG:0.2605 | T:7.76s | RAM:2249.0MB | CPU:58.6% | VRAM:28.0MB
EPOCH[59/2000] loss:16.975 | F1:0.1984 | P:0.1555 | R:0.2743 | NDCG:0.2610 | T:7.76s | RAM:2215.4MB | CPU:59.4% | VRAM:28.0MB
EPOCH[60/2000] loss:16.738 | F1:0.1985 | P:0.1557 | R:0.2738 | NDCG:0.2614 | T:7.86s | RAM:2243.2MB | CPU:59.4% | VRAM:28.0MB
EPOCH[61/2000] loss:16.608 | F1:0.1982 | P:0.1554 | R:0.2736 | NDCG:0.2611 | T:7.85s | RAM:2252.4MB | CPU:59.2% | VRAM:28.0MB
EPOCH[62/2000] loss:16.816 | F1:0.1986 | P:0.1555 | R:0.2747 | NDCG:0.2613 | T:7.88s | RAM:2322.7MB | CPU:59.2% | VRAM:28.0MB
EPOCH[63/2000] loss:17.188 | F1:0.1991 | P:0.1560 | R:0.2751 | NDCG:0.2628 | T:7.75s | RAM:2328.5MB | CPU:58.9% | VRAM:28.0MB
EPOCH[64/2000] loss:16.709 | F1:0.1992 | P:0.1560 | R:0.2753 | NDCG:0.2629 | T:7.87s | RAM:2232.1MB | CPU:59.1% | VRAM:28.0MB
EPOCH[65/2000] loss:16.848 | F1:0.1990 | P:0.1558 | R:0.2752 | NDCG:0.2624 | T:7.77s | RAM:2261.9MB | CPU:59.2% | VRAM:28.0MB
EPOCH[66/2000] loss:16.746 | F1:0.1996 | P:0.1564 | R:0.2758 | NDCG:0.2624 | T:7.93s | RAM:2240.9MB | CPU:59.5% | VRAM:28.0MB
EPOCH[67/2000] loss:16.156 | F1:0.1991 | P:0.1556 | R:0.2762 | NDCG:0.2618 | T:7.74s | RAM:2284.9MB | CPU:58.9% | VRAM:28.0MB
EPOCH[68/2000] loss:16.831 | F1:0.1996 | P:0.1562 | R:0.2763 | NDCG:0.2623 | T:7.75s | RAM:2283.5MB | CPU:59.1% | VRAM:28.0MB
EPOCH[69/2000] loss:16.771 | F1:0.1997 | P:0.1564 | R:0.2762 | NDCG:0.2631 | T:7.80s | RAM:2223.2MB | CPU:58.8% | VRAM:28.0MB
EPOCH[70/2000] loss:17.053 | F1:0.1996 | P:0.1564 | R:0.2758 | NDCG:0.2624 | T:7.81s | RAM:2271.2MB | CPU:59.1% | VRAM:28.0MB
EPOCH[71/2000] loss:16.555 | F1:0.1998 | P:0.1563 | R:0.2767 | NDCG:0.2629 | T:7.87s | RAM:2222.5MB | CPU:59.5% | VRAM:28.0MB
EPOCH[72/2000] loss:17.002 | F1:0.1992 | P:0.1558 | R:0.2761 | NDCG:0.2621 | T:7.78s | RAM:2273.7MB | CPU:59.0% | VRAM:28.0MB
EPOCH[73/2000] loss:16.812 | F1:0.1998 | P:0.1562 | R:0.2771 | NDCG:0.2628 | T:8.39s | RAM:2319.3MB | CPU:59.4% | VRAM:28.0MB
EPOCH[74/2000] loss:17.468 | F1:0.1996 | P:0.1562 | R:0.2763 | NDCG:0.2623 | T:8.14s | RAM:2220.6MB | CPU:59.6% | VRAM:28.0MB
EPOCH[75/2000] loss:17.188 | F1:0.1997 | P:0.1563 | R:0.2764 | NDCG:0.2631 | T:8.07s | RAM:2255.2MB | CPU:59.2% | VRAM:28.0MB
EPOCH[76/2000] loss:17.077 | F1:0.1998 | P:0.1565 | R:0.2764 | NDCG:0.2637 | T:7.96s | RAM:2232.8MB | CPU:58.9% | VRAM:28.0MB
EPOCH[77/2000] loss:16.432 | F1:0.1999 | P:0.1563 | R:0.2774 | NDCG:0.2630 | T:8.11s | RAM:2348.2MB | CPU:59.6% | VRAM:28.0MB
EPOCH[78/2000] loss:16.579 | F1:0.1995 | P:0.1560 | R:0.2768 | NDCG:0.2633 | T:7.97s | RAM:2295.9MB | CPU:59.6% | VRAM:28.0MB
EPOCH[79/2000] loss:17.433 | F1:0.2006 | P:0.1569 | R:0.2779 | NDCG:0.2627 | T:7.95s | RAM:2239.7MB | CPU:59.4% | VRAM:28.0MB
EPOCH[80/2000] loss:16.977 | F1:0.1991 | P:0.1557 | R:0.2760 | NDCG:0.2621 | T:7.98s | RAM:2222.9MB | CPU:59.2% | VRAM:28.0MB
EPOCH[81/2000] loss:17.157 | F1:0.2004 | P:0.1570 | R:0.2771 | NDCG:0.2630 | T:8.06s | RAM:2250.6MB | CPU:59.9% | VRAM:28.0MB
EPOCH[82/2000] loss:16.773 | F1:0.1995 | P:0.1559 | R:0.2769 | NDCG:0.2627 | T:8.00s | RAM:2222.2MB | CPU:59.8% | VRAM:28.0MB
EPOCH[83/2000] loss:17.133 | F1:0.1999 | P:0.1563 | R:0.2774 | NDCG:0.2635 | T:7.94s | RAM:2225.9MB | CPU:59.1% | VRAM:28.0MB
EPOCH[84/2000] loss:16.993 | F1:0.1989 | P:0.1557 | R:0.2752 | NDCG:0.2624 | T:7.91s | RAM:2226.6MB | CPU:59.4% | VRAM:28.0MB
EPOCH[85/2000] loss:17.317 | F1:0.2006 | P:0.1568 | R:0.2783 | NDCG:0.2638 | T:7.72s | RAM:2260.6MB | CPU:58.9% | VRAM:28.0MB
EPOCH[86/2000] loss:16.349 | F1:0.1999 | P:0.1565 | R:0.2768 | NDCG:0.2628 | T:7.84s | RAM:2228.2MB | CPU:58.9% | VRAM:28.0MB
EPOCH[87/2000] loss:16.992 | F1:0.1990 | P:0.1557 | R:0.2758 | NDCG:0.2619 | T:7.86s | RAM:2226.4MB | CPU:59.2% | VRAM:28.0MB
EPOCH[88/2000] loss:17.156 | F1:0.1993 | P:0.1559 | R:0.2761 | NDCG:0.2619 | T:7.87s | RAM:2229.3MB | CPU:59.1% | VRAM:28.0MB
EPOCH[89/2000] loss:16.612 | F1:0.1996 | P:0.1561 | R:0.2768 | NDCG:0.2629 | T:7.82s | RAM:2230.2MB | CPU:58.8% | VRAM:28.0MB
EPOCH[90/2000] loss:16.838 | F1:0.1993 | P:0.1559 | R:0.2762 | NDCG:0.2624 | T:7.93s | RAM:2300.6MB | CPU:58.9% | VRAM:28.0MB
EPOCH[91/2000] loss:16.428 | F1:0.1995 | P:0.1562 | R:0.2760 | NDCG:0.2627 | T:7.96s | RAM:2219.8MB | CPU:59.1% | VRAM:28.0MB
EPOCH[92/2000] loss:16.894 | F1:0.1990 | P:0.1558 | R:0.2756 | NDCG:0.2621 | T:7.87s | RAM:2247.6MB | CPU:59.2% | VRAM:28.0MB
EPOCH[93/2000] loss:16.893 | F1:0.1989 | P:0.1557 | R:0.2752 | NDCG:0.2619 | T:7.79s | RAM:2254.3MB | CPU:58.9% | VRAM:28.0MB
EPOCH[94/2000] loss:17.164 | F1:0.1997 | P:0.1561 | R:0.2769 | NDCG:0.2633 | T:7.88s | RAM:2245.2MB | CPU:58.7% | VRAM:28.0MB
EPOCH[95/2000] loss:17.495 | F1:0.1998 | P:0.1566 | R:0.2761 | NDCG:0.2633 | T:7.73s | RAM:2286.5MB | CPU:58.8% | VRAM:28.0MB
EPOCH[96/2000] loss:17.391 | F1:0.1985 | P:0.1554 | R:0.2748 | NDCG:0.2630 | T:7.81s | RAM:2304.8MB | CPU:59.5% | VRAM:28.0MB
EPOCH[97/2000] loss:17.315 | F1:0.1989 | P:0.1556 | R:0.2757 | NDCG:0.2618 | T:7.86s | RAM:2228.8MB | CPU:59.4% | VRAM:28.0MB
EPOCH[98/2000] loss:16.976 | F1:0.1999 | P:0.1564 | R:0.2767 | NDCG:0.2622 | T:7.80s | RAM:2296.7MB | CPU:59.2% | VRAM:28.0MB
EPOCH[99/2000] loss:17.439 | F1:0.1991 | P:0.1558 | R:0.2756 | NDCG:0.2619 | T:7.91s | RAM:2251.1MB | CPU:59.3% | VRAM:28.0MB
EPOCH[100/2000] loss:17.372 | F1:0.1982 | P:0.1552 | R:0.2742 | NDCG:0.2614 | T:7.82s | RAM:2291.7MB | CPU:58.9% | VRAM:28.0MB
EPOCH[101/2000] loss:16.564 | F1:0.1986 | P:0.1555 | R:0.2747 | NDCG:0.2612 | T:7.92s | RAM:2280.8MB | CPU:59.2% | VRAM:28.0MB
EPOCH[102/2000] loss:17.284 | F1:0.1984 | P:0.1551 | R:0.2752 | NDCG:0.2609 | T:8.01s | RAM:2212.9MB | CPU:59.3% | VRAM:28.0MB
EPOCH[103/2000] loss:16.990 | F1:0.1986 | P:0.1553 | R:0.2754 | NDCG:0.2618 | T:7.94s | RAM:2251.8MB | CPU:59.6% | VRAM:28.0MB
EPOCH[104/2000] loss:16.925 | F1:0.1984 | P:0.1550 | R:0.2753 | NDCG:0.2607 | T:7.84s | RAM:2307.4MB | CPU:59.4% | VRAM:28.0MB
EPOCH[105/2000] loss:17.415 | F1:0.1986 | P:0.1555 | R:0.2750 | NDCG:0.2620 | T:7.84s | RAM:2238.9MB | CPU:58.9% | VRAM:28.0MB
