EPOCH[0/2000] loss:19.491 | F1:0.0921 | P:0.0766 | R:0.1153 | NDCG:0.1163 | T:8.09s | RAM:2165.7MB | CPU:37.8% | VRAM:19.9MB
EPOCH[5/2000] loss:16.846 | F1:0.0915 | P:0.0761 | R:0.1147 | NDCG:0.1159 | T:7.97s | RAM:2203.8MB | CPU:60.8% | VRAM:28.0MB
EPOCH[10/2000] loss:17.724 | F1:0.0909 | P:0.0757 | R:0.1137 | NDCG:0.1155 | T:7.75s | RAM:2204.1MB | CPU:60.5% | VRAM:28.0MB
EPOCH[15/2000] loss:17.102 | F1:0.1288 | P:0.1073 | R:0.1611 | NDCG:0.1687 | T:7.77s | RAM:2198.0MB | CPU:60.3% | VRAM:28.0MB
EPOCH[20/2000] loss:16.754 | F1:0.1589 | P:0.1289 | R:0.2071 | NDCG:0.2083 | T:8.01s | RAM:2208.3MB | CPU:60.8% | VRAM:28.0MB
EPOCH[25/2000] loss:17.277 | F1:0.1719 | P:0.1376 | R:0.2289 | NDCG:0.2248 | T:7.82s | RAM:2199.5MB | CPU:60.6% | VRAM:28.0MB
EPOCH[30/2000] loss:16.608 | F1:0.1809 | P:0.1436 | R:0.2444 | NDCG:0.2362 | T:7.89s | RAM:2200.2MB | CPU:60.8% | VRAM:28.0MB
EPOCH[35/2000] loss:16.081 | F1:0.1868 | P:0.1479 | R:0.2535 | NDCG:0.2454 | T:7.71s | RAM:2207.2MB | CPU:60.5% | VRAM:28.0MB
EPOCH[40/2000] loss:16.459 | F1:0.1910 | P:0.1505 | R:0.2613 | NDCG:0.2503 | T:7.79s | RAM:2183.1MB | CPU:60.4% | VRAM:28.0MB
EPOCH[45/2000] loss:16.894 | F1:0.1935 | P:0.1523 | R:0.2654 | NDCG:0.2541 | T:7.85s | RAM:2182.3MB | CPU:60.7% | VRAM:28.0MB
EPOCH[50/2000] loss:17.376 | F1:0.1959 | P:0.1538 | R:0.2698 | NDCG:0.2579 | T:7.73s | RAM:2169.6MB | CPU:60.3% | VRAM:28.0MB
EPOCH[51/2000] loss:17.083 | F1:0.1958 | P:0.1537 | R:0.2699 | NDCG:0.2581 | T:7.90s | RAM:2217.8MB | CPU:59.3% | VRAM:28.0MB
EPOCH[52/2000] loss:17.800 | F1:0.1961 | P:0.1538 | R:0.2703 | NDCG:0.2571 | T:7.72s | RAM:2244.4MB | CPU:58.9% | VRAM:28.0MB
EPOCH[53/2000] loss:16.077 | F1:0.1960 | P:0.1536 | R:0.2708 | NDCG:0.2578 | T:7.85s | RAM:2224.7MB | CPU:59.5% | VRAM:28.0MB
