EPOCH[0/2000] loss:19.894 | F1:0.0913 | P:0.0762 | R:0.1140 | NDCG:0.1152 | T:8.12s | RAM:2180.8MB | CPU:37.7% | VRAM:19.9MB
EPOCH[5/2000] loss:17.286 | F1:0.0914 | P:0.0759 | R:0.1150 | NDCG:0.1157 | T:7.81s | RAM:2193.2MB | CPU:60.3% | VRAM:28.0MB
EPOCH[10/2000] loss:16.821 | F1:0.0910 | P:0.0755 | R:0.1144 | NDCG:0.1138 | T:7.79s | RAM:2193.8MB | CPU:60.4% | VRAM:28.0MB
EPOCH[15/2000] loss:16.761 | F1:0.1287 | P:0.1075 | R:0.1604 | NDCG:0.1684 | T:7.81s | RAM:2176.4MB | CPU:60.5% | VRAM:28.0MB
EPOCH[20/2000] loss:16.386 | F1:0.1579 | P:0.1281 | R:0.2060 | NDCG:0.2066 | T:7.86s | RAM:2167.3MB | CPU:60.7% | VRAM:28.0MB
EPOCH[25/2000] loss:16.320 | F1:0.1720 | P:0.1379 | R:0.2285 | NDCG:0.2258 | T:7.81s | RAM:2185.3MB | CPU:60.5% | VRAM:28.0MB
EPOCH[30/2000] loss:15.973 | F1:0.1796 | P:0.1426 | R:0.2424 | NDCG:0.2355 | T:7.84s | RAM:2188.6MB | CPU:60.6% | VRAM:28.0MB
EPOCH[35/2000] loss:17.273 | F1:0.1867 | P:0.1477 | R:0.2536 | NDCG:0.2446 | T:7.85s | RAM:2193.8MB | CPU:60.4% | VRAM:28.0MB
EPOCH[40/2000] loss:16.616 | F1:0.1912 | P:0.1504 | R:0.2624 | NDCG:0.2513 | T:7.87s | RAM:2191.3MB | CPU:60.3% | VRAM:28.0MB
EPOCH[45/2000] loss:16.413 | F1:0.1938 | P:0.1523 | R:0.2661 | NDCG:0.2545 | T:7.80s | RAM:2179.2MB | CPU:60.4% | VRAM:28.0MB
EPOCH[50/2000] loss:16.862 | F1:0.1963 | P:0.1541 | R:0.2702 | NDCG:0.2574 | T:7.76s | RAM:2173.9MB | CPU:60.0% | VRAM:28.0MB
EPOCH[51/2000] loss:17.232 | F1:0.1966 | P:0.1542 | R:0.2712 | NDCG:0.2585 | T:7.82s | RAM:2184.2MB | CPU:59.0% | VRAM:28.0MB
EPOCH[52/2000] loss:16.405 | F1:0.1962 | P:0.1538 | R:0.2707 | NDCG:0.2573 | T:7.79s | RAM:2263.7MB | CPU:59.2% | VRAM:28.0MB
EPOCH[53/2000] loss:16.725 | F1:0.1976 | P:0.1550 | R:0.2725 | NDCG:0.2587 | T:7.87s | RAM:2193.0MB | CPU:59.2% | VRAM:28.0MB
EPOCH[54/2000] loss:16.672 | F1:0.1967 | P:0.1542 | R:0.2715 | NDCG:0.2587 | T:7.83s | RAM:2261.0MB | CPU:59.3% | VRAM:28.0MB
EPOCH[55/2000] loss:16.950 | F1:0.1971 | P:0.1547 | R:0.2714 | NDCG:0.2592 | T:7.75s | RAM:2237.7MB | CPU:58.9% | VRAM:28.0MB
EPOCH[56/2000] loss:16.424 | F1:0.1967 | P:0.1540 | R:0.2720 | NDCG:0.2588 | T:7.87s | RAM:2187.3MB | CPU:59.0% | VRAM:28.0MB
EPOCH[57/2000] loss:17.179 | F1:0.1976 | P:0.1552 | R:0.2720 | NDCG:0.2601 | T:7.82s | RAM:2259.3MB | CPU:59.5% | VRAM:28.0MB
EPOCH[58/2000] loss:16.298 | F1:0.1983 | P:0.1553 | R:0.2744 | NDCG:0.2603 | T:7.84s | RAM:2240.4MB | CPU:59.4% | VRAM:28.0MB
EPOCH[59/2000] loss:16.306 | F1:0.1980 | P:0.1550 | R:0.2739 | NDCG:0.2599 | T:7.89s | RAM:2206.9MB | CPU:59.2% | VRAM:28.0MB
EPOCH[60/2000] loss:16.870 | F1:0.1978 | P:0.1552 | R:0.2727 | NDCG:0.2602 | T:7.86s | RAM:2242.5MB | CPU:59.1% | VRAM:28.0MB
EPOCH[61/2000] loss:16.011 | F1:0.1995 | P:0.1565 | R:0.2753 | NDCG:0.2620 | T:7.90s | RAM:2179.9MB | CPU:58.8% | VRAM:28.0MB
EPOCH[62/2000] loss:16.891 | F1:0.1987 | P:0.1557 | R:0.2746 | NDCG:0.2614 | T:7.84s | RAM:2258.7MB | CPU:59.0% | VRAM:28.0MB
EPOCH[63/2000] loss:17.522 | F1:0.1991 | P:0.1559 | R:0.2753 | NDCG:0.2615 | T:7.81s | RAM:2237.3MB | CPU:59.3% | VRAM:28.0MB
EPOCH[64/2000] loss:16.889 | F1:0.1989 | P:0.1561 | R:0.2739 | NDCG:0.2616 | T:7.86s | RAM:2187.6MB | CPU:59.0% | VRAM:28.0MB
EPOCH[65/2000] loss:17.108 | F1:0.1981 | P:0.1552 | R:0.2738 | NDCG:0.2601 | T:7.82s | RAM:2235.9MB | CPU:59.4% | VRAM:28.0MB
