EPOCH[0/2000] loss:118.904 | F1:0.0075 | P:0.0053 | R:0.0127 | NDCG:0.0101 | T:33.03s | RAM:6904.9MB | CPU:37.6% | VRAM:75.3MB
EPOCH[5/2000] loss:75.990 | F1:0.0074 | P:0.0053 | R:0.0126 | NDCG:0.0101 | T:32.20s | RAM:6922.4MB | CPU:44.7% | VRAM:83.4MB
EPOCH[10/2000] loss:67.164 | F1:0.0075 | P:0.0053 | R:0.0127 | NDCG:0.0101 | T:32.07s | RAM:6913.8MB | CPU:44.5% | VRAM:83.4MB
EPOCH[15/2000] loss:62.574 | F1:0.0149 | P:0.0114 | R:0.0219 | NDCG:0.0191 | T:32.07s | RAM:6904.8MB | CPU:44.4% | VRAM:83.4MB
EPOCH[20/2000] loss:62.284 | F1:0.0239 | P:0.0177 | R:0.0370 | NDCG:0.0309 | T:32.30s | RAM:6933.7MB | CPU:44.4% | VRAM:83.4MB
EPOCH[25/2000] loss:63.054 | F1:0.0297 | P:0.0218 | R:0.0465 | NDCG:0.0384 | T:32.07s | RAM:6909.5MB | CPU:44.4% | VRAM:83.4MB
EPOCH[30/2000] loss:64.787 | F1:0.0339 | P:0.0247 | R:0.0539 | NDCG:0.0444 | T:32.11s | RAM:6903.3MB | CPU:44.4% | VRAM:83.4MB
EPOCH[35/2000] loss:65.336 | F1:0.0369 | P:0.0268 | R:0.0593 | NDCG:0.0485 | T:32.28s | RAM:6913.5MB | CPU:44.4% | VRAM:83.4MB
EPOCH[40/2000] loss:67.824 | F1:0.0389 | P:0.0283 | R:0.0625 | NDCG:0.0511 | T:32.10s | RAM:6891.3MB | CPU:44.4% | VRAM:83.4MB
EPOCH[45/2000] loss:68.490 | F1:0.0401 | P:0.0291 | R:0.0644 | NDCG:0.0531 | T:32.20s | RAM:6899.8MB | CPU:44.2% | VRAM:83.4MB
EPOCH[50/2000] loss:69.322 | F1:0.0411 | P:0.0298 | R:0.0661 | NDCG:0.0544 | T:31.95s | RAM:6902.1MB | CPU:44.3% | VRAM:83.4MB
EPOCH[51/2000] loss:68.608 | F1:0.0413 | P:0.0299 | R:0.0666 | NDCG:0.0548 | T:32.20s | RAM:6908.0MB | CPU:43.1% | VRAM:83.4MB
EPOCH[52/2000] loss:69.934 | F1:0.0413 | P:0.0299 | R:0.0664 | NDCG:0.0545 | T:32.20s | RAM:6916.0MB | CPU:43.0% | VRAM:83.4MB
EPOCH[53/2000] loss:70.240 | F1:0.0414 | P:0.0300 | R:0.0668 | NDCG:0.0550 | T:31.94s | RAM:6915.1MB | CPU:43.0% | VRAM:83.4MB
EPOCH[54/2000] loss:68.897 | F1:0.0415 | P:0.0301 | R:0.0667 | NDCG:0.0549 | T:32.27s | RAM:6875.5MB | CPU:43.0% | VRAM:83.4MB
EPOCH[55/2000] loss:70.597 | F1:0.0414 | P:0.0300 | R:0.0667 | NDCG:0.0550 | T:32.31s | RAM:6916.7MB | CPU:43.1% | VRAM:83.4MB
EPOCH[56/2000] loss:71.803 | F1:0.0418 | P:0.0303 | R:0.0672 | NDCG:0.0554 | T:31.98s | RAM:6887.7MB | CPU:43.1% | VRAM:83.4MB
EPOCH[57/2000] loss:71.639 | F1:0.0414 | P:0.0300 | R:0.0665 | NDCG:0.0550 | T:32.07s | RAM:6896.7MB | CPU:42.9% | VRAM:83.4MB
EPOCH[58/2000] loss:72.400 | F1:0.0417 | P:0.0302 | R:0.0670 | NDCG:0.0551 | T:32.12s | RAM:6922.9MB | CPU:43.1% | VRAM:83.4MB
EPOCH[59/2000] loss:71.836 | F1:0.0417 | P:0.0303 | R:0.0671 | NDCG:0.0554 | T:32.02s | RAM:6904.0MB | CPU:43.1% | VRAM:83.4MB
EPOCH[60/2000] loss:71.355 | F1:0.0416 | P:0.0302 | R:0.0670 | NDCG:0.0549 | T:32.18s | RAM:6930.4MB | CPU:43.1% | VRAM:83.4MB
EPOCH[61/2000] loss:71.843 | F1:0.0418 | P:0.0303 | R:0.0672 | NDCG:0.0554 | T:32.27s | RAM:6909.5MB | CPU:43.2% | VRAM:83.4MB
EPOCH[62/2000] loss:71.721 | F1:0.0419 | P:0.0304 | R:0.0674 | NDCG:0.0556 | T:32.28s | RAM:6919.9MB | CPU:43.0% | VRAM:83.4MB
EPOCH[63/2000] loss:71.285 | F1:0.0414 | P:0.0300 | R:0.0667 | NDCG:0.0551 | T:32.34s | RAM:6928.3MB | CPU:43.1% | VRAM:83.4MB
EPOCH[64/2000] loss:72.181 | F1:0.0415 | P:0.0301 | R:0.0668 | NDCG:0.0547 | T:32.18s | RAM:6912.2MB | CPU:43.0% | VRAM:83.4MB
EPOCH[65/2000] loss:73.888 | F1:0.0413 | P:0.0299 | R:0.0666 | NDCG:0.0548 | T:32.17s | RAM:6900.4MB | CPU:43.1% | VRAM:83.4MB
EPOCH[66/2000] loss:73.706 | F1:0.0413 | P:0.0300 | R:0.0664 | NDCG:0.0548 | T:31.97s | RAM:6902.9MB | CPU:43.1% | VRAM:83.4MB
EPOCH[67/2000] loss:71.894 | F1:0.0416 | P:0.0302 | R:0.0669 | NDCG:0.0550 | T:32.29s | RAM:6904.2MB | CPU:43.1% | VRAM:83.4MB
EPOCH[68/2000] loss:73.313 | F1:0.0413 | P:0.0299 | R:0.0664 | NDCG:0.0546 | T:32.28s | RAM:6898.7MB | CPU:43.1% | VRAM:83.4MB
EPOCH[69/2000] loss:73.922 | F1:0.0413 | P:0.0300 | R:0.0666 | NDCG:0.0548 | T:31.92s | RAM:6910.2MB | CPU:43.1% | VRAM:83.4MB
EPOCH[70/2000] loss:73.503 | F1:0.0414 | P:0.0301 | R:0.0666 | NDCG:0.0547 | T:32.36s | RAM:6899.6MB | CPU:43.1% | VRAM:83.4MB
EPOCH[71/2000] loss:74.004 | F1:0.0411 | P:0.0298 | R:0.0661 | NDCG:0.0545 | T:32.21s | RAM:6898.5MB | CPU:43.1% | VRAM:83.4MB
EPOCH[72/2000] loss:72.552 | F1:0.0411 | P:0.0298 | R:0.0661 | NDCG:0.0544 | T:32.24s | RAM:6893.5MB | CPU:43.1% | VRAM:83.4MB
EPOCH[73/2000] loss:74.349 | F1:0.0411 | P:0.0298 | R:0.0662 | NDCG:0.0545 | T:32.09s | RAM:6887.5MB | CPU:43.0% | VRAM:83.4MB
EPOCH[74/2000] loss:74.251 | F1:0.0412 | P:0.0299 | R:0.0664 | NDCG:0.0545 | T:32.15s | RAM:6905.4MB | CPU:43.0% | VRAM:83.4MB
EPOCH[75/2000] loss:74.111 | F1:0.0408 | P:0.0296 | R:0.0656 | NDCG:0.0539 | T:32.33s | RAM:6922.6MB | CPU:43.1% | VRAM:83.4MB
EPOCH[76/2000] loss:74.655 | F1:0.0408 | P:0.0296 | R:0.0657 | NDCG:0.0538 | T:31.98s | RAM:6892.2MB | CPU:43.0% | VRAM:83.4MB
EPOCH[77/2000] loss:74.965 | F1:0.0406 | P:0.0294 | R:0.0654 | NDCG:0.0538 | T:32.22s | RAM:6907.8MB | CPU:43.1% | VRAM:83.4MB
