EPOCH[0/2000] loss:112.316 | F1:0.0075 | P:0.0053 | R:0.0126 | NDCG:0.0101 | T:32.18s | RAM:7336.8MB | CPU:37.2% | VRAM:75.3MB
EPOCH[5/2000] loss:81.673 | F1:0.0074 | P:0.0052 | R:0.0126 | NDCG:0.0100 | T:32.12s | RAM:7366.2MB | CPU:44.4% | VRAM:83.4MB
EPOCH[10/2000] loss:61.499 | F1:0.0072 | P:0.0051 | R:0.0123 | NDCG:0.0099 | T:31.94s | RAM:7366.5MB | CPU:44.3% | VRAM:83.4MB
EPOCH[15/2000] loss:61.592 | F1:0.0151 | P:0.0115 | R:0.0219 | NDCG:0.0189 | T:32.09s | RAM:7362.3MB | CPU:44.6% | VRAM:83.4MB
EPOCH[20/2000] loss:64.862 | F1:0.0237 | P:0.0175 | R:0.0366 | NDCG:0.0307 | T:32.04s | RAM:7362.9MB | CPU:44.3% | VRAM:83.4MB
EPOCH[25/2000] loss:64.489 | F1:0.0301 | P:0.0221 | R:0.0474 | NDCG:0.0387 | T:32.26s | RAM:7367.8MB | CPU:44.4% | VRAM:83.4MB
EPOCH[30/2000] loss:63.464 | F1:0.0342 | P:0.0249 | R:0.0544 | NDCG:0.0447 | T:32.05s | RAM:7376.8MB | CPU:44.4% | VRAM:83.4MB
EPOCH[35/2000] loss:66.970 | F1:0.0370 | P:0.0268 | R:0.0594 | NDCG:0.0487 | T:32.04s | RAM:7365.4MB | CPU:44.4% | VRAM:83.4MB
EPOCH[40/2000] loss:67.644 | F1:0.0390 | P:0.0283 | R:0.0627 | NDCG:0.0514 | T:32.69s | RAM:7368.7MB | CPU:44.6% | VRAM:83.4MB
EPOCH[45/2000] loss:67.428 | F1:0.0405 | P:0.0294 | R:0.0651 | NDCG:0.0535 | T:32.60s | RAM:7386.5MB | CPU:44.6% | VRAM:83.4MB
EPOCH[50/2000] loss:70.594 | F1:0.0410 | P:0.0298 | R:0.0660 | NDCG:0.0545 | T:32.57s | RAM:7362.2MB | CPU:44.7% | VRAM:83.4MB
EPOCH[51/2000] loss:67.575 | F1:0.0414 | P:0.0301 | R:0.0667 | NDCG:0.0549 | T:32.71s | RAM:7367.5MB | CPU:43.2% | VRAM:83.4MB
EPOCH[52/2000] loss:68.265 | F1:0.0415 | P:0.0301 | R:0.0668 | NDCG:0.0551 | T:32.94s | RAM:7358.7MB | CPU:43.2% | VRAM:83.4MB
EPOCH[53/2000] loss:69.453 | F1:0.0416 | P:0.0302 | R:0.0668 | NDCG:0.0550 | T:32.86s | RAM:7384.1MB | CPU:43.2% | VRAM:83.4MB
EPOCH[54/2000] loss:69.491 | F1:0.0415 | P:0.0301 | R:0.0666 | NDCG:0.0552 | T:32.77s | RAM:7366.0MB | CPU:43.2% | VRAM:83.4MB
EPOCH[55/2000] loss:70.356 | F1:0.0414 | P:0.0300 | R:0.0666 | NDCG:0.0548 | T:32.71s | RAM:7379.9MB | CPU:43.4% | VRAM:83.4MB
EPOCH[56/2000] loss:70.273 | F1:0.0414 | P:0.0301 | R:0.0666 | NDCG:0.0549 | T:32.71s | RAM:7370.4MB | CPU:43.3% | VRAM:83.4MB
EPOCH[57/2000] loss:71.566 | F1:0.0417 | P:0.0303 | R:0.0672 | NDCG:0.0553 | T:32.61s | RAM:7346.5MB | CPU:43.3% | VRAM:83.4MB
EPOCH[58/2000] loss:72.362 | F1:0.0421 | P:0.0305 | R:0.0677 | NDCG:0.0556 | T:32.68s | RAM:7385.7MB | CPU:43.2% | VRAM:83.4MB
EPOCH[59/2000] loss:71.443 | F1:0.0417 | P:0.0303 | R:0.0673 | NDCG:0.0554 | T:32.80s | RAM:7369.8MB | CPU:43.2% | VRAM:83.4MB
EPOCH[60/2000] loss:72.545 | F1:0.0418 | P:0.0303 | R:0.0673 | NDCG:0.0555 | T:32.95s | RAM:7380.6MB | CPU:43.2% | VRAM:83.4MB
EPOCH[61/2000] loss:71.267 | F1:0.0419 | P:0.0304 | R:0.0677 | NDCG:0.0556 | T:32.55s | RAM:7369.9MB | CPU:43.4% | VRAM:83.4MB
EPOCH[62/2000] loss:72.963 | F1:0.0419 | P:0.0304 | R:0.0676 | NDCG:0.0555 | T:32.72s | RAM:7355.6MB | CPU:43.2% | VRAM:83.4MB
EPOCH[63/2000] loss:72.477 | F1:0.0418 | P:0.0303 | R:0.0673 | NDCG:0.0554 | T:32.87s | RAM:7355.8MB | CPU:43.4% | VRAM:83.4MB
EPOCH[64/2000] loss:73.330 | F1:0.0415 | P:0.0301 | R:0.0668 | NDCG:0.0548 | T:32.82s | RAM:7381.2MB | CPU:43.3% | VRAM:83.4MB
EPOCH[65/2000] loss:73.098 | F1:0.0417 | P:0.0302 | R:0.0671 | NDCG:0.0553 | T:32.99s | RAM:7354.3MB | CPU:43.2% | VRAM:83.4MB
