EPOCH[0/2000] loss:117.032 | F1:0.0075 | P:0.0053 | R:0.0126 | NDCG:0.0102 | T:32.25s | RAM:7380.6MB | CPU:37.2% | VRAM:75.3MB
EPOCH[5/2000] loss:75.548 | F1:0.0073 | P:0.0052 | R:0.0123 | NDCG:0.0099 | T:32.09s | RAM:7374.0MB | CPU:44.3% | VRAM:83.4MB
EPOCH[10/2000] loss:64.417 | F1:0.0074 | P:0.0052 | R:0.0126 | NDCG:0.0101 | T:32.31s | RAM:7386.9MB | CPU:44.3% | VRAM:83.4MB
EPOCH[15/2000] loss:63.131 | F1:0.0155 | P:0.0117 | R:0.0231 | NDCG:0.0199 | T:32.13s | RAM:7407.7MB | CPU:44.4% | VRAM:83.4MB
EPOCH[20/2000] loss:64.258 | F1:0.0240 | P:0.0177 | R:0.0374 | NDCG:0.0309 | T:31.97s | RAM:7406.5MB | CPU:44.4% | VRAM:83.4MB
EPOCH[25/2000] loss:63.648 | F1:0.0299 | P:0.0220 | R:0.0469 | NDCG:0.0388 | T:31.96s | RAM:7395.6MB | CPU:44.4% | VRAM:83.4MB
EPOCH[30/2000] loss:65.695 | F1:0.0342 | P:0.0249 | R:0.0545 | NDCG:0.0447 | T:31.82s | RAM:7400.4MB | CPU:44.4% | VRAM:83.4MB
EPOCH[35/2000] loss:65.939 | F1:0.0371 | P:0.0269 | R:0.0594 | NDCG:0.0491 | T:32.04s | RAM:7400.7MB | CPU:44.5% | VRAM:83.4MB
EPOCH[40/2000] loss:68.075 | F1:0.0388 | P:0.0282 | R:0.0623 | NDCG:0.0512 | T:31.89s | RAM:7403.7MB | CPU:44.3% | VRAM:83.4MB
EPOCH[45/2000] loss:70.017 | F1:0.0405 | P:0.0294 | R:0.0652 | NDCG:0.0534 | T:31.84s | RAM:7406.9MB | CPU:44.4% | VRAM:83.4MB
EPOCH[50/2000] loss:69.225 | F1:0.0412 | P:0.0299 | R:0.0663 | NDCG:0.0546 | T:31.78s | RAM:7404.9MB | CPU:44.3% | VRAM:83.4MB
EPOCH[51/2000] loss:69.332 | F1:0.0411 | P:0.0298 | R:0.0661 | NDCG:0.0543 | T:32.04s | RAM:7410.1MB | CPU:43.1% | VRAM:83.4MB
EPOCH[52/2000] loss:70.174 | F1:0.0415 | P:0.0301 | R:0.0667 | NDCG:0.0548 | T:31.89s | RAM:7406.1MB | CPU:43.1% | VRAM:83.4MB
EPOCH[53/2000] loss:70.164 | F1:0.0415 | P:0.0301 | R:0.0668 | NDCG:0.0550 | T:31.95s | RAM:7420.3MB | CPU:43.1% | VRAM:83.4MB
EPOCH[54/2000] loss:70.682 | F1:0.0412 | P:0.0299 | R:0.0664 | NDCG:0.0547 | T:32.10s | RAM:7409.6MB | CPU:43.1% | VRAM:83.4MB
